"CycID","1","2","3","4","5","6","7","8","9","10","11","12"
"Enterococcus__Bacterial","0","-0.00128273685193265","0.000843761500645235","0.00127527320750705","-8.9375514082305e-05","-0.000774152814750558","0.000567212484780235","0.00261968615780237","0.00333358467899942","0.00229163335332851","0.000859387911743822","0.000539735006008994"
"Escherichia-Shigella__Bacterial","0","-0.0895971107956587","-0.0545767402872853","0.015186496080895","0.0652190207638811","0.0751747874368371","0.0510673370321023","0.00980823752318317","-0.0327080307765404","-0.06384348074212","-0.0738395026572811","-0.0537144760203929"
"Hafnia-Obesumbacterium__Bacterial","0","0.00479714331838993","0.00830747844855906","0.0104673077895822","0.0111231831887965","0.0102572230389822","0.00818605770207892","0.00552312072921268","0.00306943916925419","0.00172157217508663","0.00240890682099999","0.00606533982768104"
"Klebsiella__Bacterial","0","0.00938127304736343","0.00514218091992712","-0.00235394685711541","-0.00702061794604638","-0.00689002818501993","-0.00322203303543416","0.00135044304111983","0.00509284402213694","0.00789884754402673","0.0102641861156092","0.0125228096661467"
"Lactococcus__Bacterial","0","0.000959541150058669","0.00166079730666002","0.00210367923034361","0.00230070645868826","0.00227542821187621","0.00205624984498895","0.00166266384417417","0.00110654321102587","0.000398849065959362","-0.00045790851426842","-0.00146667495270864"
"Ligilactobacillus__Bacterial","0","-0.00590419451956204","-0.0104313849100533","-0.0137132064360336","-0.0160916895865788","-0.0179466411575749","-0.0190526152297962","-0.0185098519790756","-0.0154035441654715","-0.00962134526661121","-0.00217625788348903","0.00518185670058307"
"Romboutsia__Bacterial","0","0.000356041352085344","0.000713070887770533","0.00104783091499027","0.00131587392270181","0.00147215031169884","0.00149534900219749","0.00139731207608915","0.00122841115365353","0.00107280123185604","0.00103749845910731","0.00123856427115606"
"Streptococcus__Bacterial","0","0.00730378075264358","-0.0187062215951914","-0.00993273541007415","0.0188796441371677","0.0164930756962252","-0.0370592371869587","-0.107178900648454","-0.14568641726498","-0.138033092364724","-0.108304414554187","-0.0879650184909113"
"Terrisporobacter__Bacterial","0","0.00173371902431005","0.000794690361103064","-0.000832799035384392","-0.00151229416207448","-0.000386040947217734","0.00226410698552801","0.00531993164949578","0.00757244447497094","0.00833557729000961","0.00767752517136907","0.00614748300770757"
"Turicibacter__Bacterial","0","0","0","0","0","0","0","0","0","0","0","0"
"Weissella__Bacterial","0","-0.00494603471787191","-0.0261303819786315","-0.039520907528618","-0.0354236306824433","-0.0170855114635284","0.00378996369566118","0.0150961159600112","0.0131531611122417","0.00249449694152453","-0.0114764138340053","-0.0257662876913958"
"unclassified-Enterobacteriaceae__Bacterial","0","-0.017526015633745","-0.0150655358259148","-0.00319258821558738","0.0101226566805786","0.0196806438996171","0.0229451962099997","0.0195493510795006","0.0100265586936049","-0.00514258852585101","-0.0255105153338084","-0.0508262079472925"
"unclassified-Pasteurellaceae__Bacterial","0","0","0","0","0","0","0","0","0","0","0","0"
"Acinetobacter__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Actinobacillus__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Campylobacter__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Cellulosilyticum__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Clostridium__External","0","-0.0364244711332671","-0.0303531616620275","-0.00702994259903449","0.0141689574624523","0.016368136871242","-0.000707159746495588","-0.00118897649318647","0.0473035442257681","0.110574946980039","0.127788726693428","0.102174773522881"
"Enterobacter__External","0","0.00118660363798361","0.00231934651557325","0.000710725487244365","-0.000328284839603857","0.002161147550388","0.00670325890664027","0.00918525034384709","0.00815855899643867","0.00679412811115296","0.00823001883171806","0.00791030689304551"
"Enterococcus__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Escherichia-Shigella__External","0","0.0301606965574996","-0.0200953808893448","-0.0742639148241155","-0.083436476260014","-0.0411066944509487","0.0210963544849678","0.0570218220865785","0.0383398598226195","-0.0201619153527145","-0.0545825217182572","0.0280702038518897"
"Hafnia-Obesumbacterium__External","0","-0.000176999745889176","0.00117117093780783","0.00249961300022971","0.0016612882971081","-0.00191355890859137","-0.00644514871909317","-0.00927412877622257","-0.00921327412629437","-0.00762133038574571","-0.00695650400910149","-0.00794500592481754"
"Klebsiella__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Lactococcus__External","0","0","0","0","0","0","0","0","0","0","0","0"
"Ligilactobacillus__External","0","0.000806745977381716","-0.00193661877423462","-0.00213011594631254","0.000652197143770127","0.00355998654818911","0.00350707271313054","-0.000723570347231323","-0.00809258260703515","-0.0163429079562013","-0.0236661249571968","-0.0294165431335091"
